지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
129,2018-01-01 0:00,-2.1,0,70,1.1,1023.6,1027.3,70,0,0
129,2018-01-01 1:00,-3.5,0,90,1,1023.5,1027.2,79,0,0
129,2018-01-01 2:00,-4.3,0,0,0.4,1023.5,1027.3,86,0,0
129,2018-01-01 3:00,-5.1,0,0,0.2,1023.8,1027.6,89,0,0
129,2018-01-01 4:00,-5.6,0,20,0.6,1023.8,1027.6,90,0,0
129,2018-01-01 5:00,-5.3,0,0,0.1,1023.8,1027.6,88,0,0
129,2018-01-01 6:00,-5.9,0,90,0.7,1023.8,1027.6,88,0,0
129,2018-01-01 7:00,-6.5,0,110,0.5,1024.2,1028,91,0,0
129,2018-01-01 8:00,-6.5,0,110,1.1,1024.7,1028.5,91,0,0
129,2018-01-01 9:00,-4.3,0,0,0,1025.1,1028.9,87,0.18,2520
129,2018-01-01 10:00,-1.5,0,270,0.5,1025.9,1029.6,71,0.45,3600
129,2018-01-01 11:00,1.4,0,250,1.3,1026.3,1030,59,0.9,3600
129,2018-01-01 12:00,2.3,0,250,0.7,1025.8,1029.5,42,1.2,3600
129,2018-01-01 13:00,2.6,0,160,0.8,1025.1,1028.8,42,1.32,3600
129,2018-01-01 14:00,3,0,200,1.7,1024.5,1028.2,44,1.63,3600
129,2018-01-01 15:00,3.7,0,200,2.2,1024.4,1028,44,0.6,3600
129,2018-01-01 16:00,3.5,0,230,2,1024.6,1028.2,46,0.48,3600
129,2018-01-01 17:00,2.4,0,200,2,1025.1,1028.8,53,0.19,3600
129,2018-01-01 18:00,0.8,0,180,1.5,1025.1,1028.8,59,0,0
129,2018-01-01 19:00,-1.4,0,0,0.2,1025.3,1029,74,0,0
129,2018-01-01 20:00,-2.1,0,0,0.1,1025.5,1029.2,81,0,0
129,2018-01-01 21:00,-3,0,0,0,1025.7,1029.4,84,0,0
129,2018-01-01 22:00,-3.2,0,0,0,1026,1029.7,85,0,0
129,2018-01-01 23:00,-3.6,0,0,0,1025.9,1029.7,87,0,0
129,2018-01-02 0:00,-4.1,0,0,0,1025.9,1029.7,90,0,0
129,2018-01-02 1:00,-4.2,0,0,0.3,1025.9,1029.7,91,0,0
129,2018-01-02 2:00,-4.8,0,0,0.1,1026.1,1029.9,92,0,0
129,2018-01-02 3:00,-4.7,0,0,0,1026.2,1030,93,0,0
129,2018-01-02 4:00,-4.8,0,0,0.1,1025.5,1029.3,93,0,0
129,2018-01-02 5:00,-5.3,0,50,0.6,1025.3,1029.1,94,0,0
129,2018-01-02 6:00,-4.7,0,0,0,1025.8,1029.6,95,0,0
129,2018-01-02 7:00,-5.2,0,70,0.6,1025.7,1029.5,94,0,0
129,2018-01-02 8:00,-4.8,0,0,0,1026,1029.8,95,0,0
129,2018-01-02 9:00,-2.5,0,50,0.5,1026.1,1029.8,95,0.04,0
129,2018-01-02 10:00,-0.1,0,20,1.9,1027,1030.7,90,0.09,0
129,2018-01-02 11:00,0.7,0,20,2.8,1027.2,1030.9,63,0.22,0
129,2018-01-02 12:00,1.3,0,20,1.5,1026.6,1030.3,58,0.26,0
129,2018-01-02 13:00,2.1,0,360,2.8,1025.9,1029.6,55,0.42,1440
129,2018-01-02 14:00,2.6,0,360,2.4,1025.6,1029.3,47.9,0.47,2880
129,2018-01-02 15:00,2,0,20,2.2,1025.3,1029,38.6,0.46,2880
129,2018-01-02 16:00,1.5,0,360,1.6,1026,1029.7,44,0.37,3600
129,2018-01-02 17:00,0.5,0,320,2.4,1026.8,1030.5,45,0.13,360
129,2018-01-02 18:00,-0.2,0,340,1.8,1027,1030.7,45,0.01,0
129,2018-01-03 8:00,-5.9,0,360,0.9,1029,1032.8,76,0,0
129,2018-01-03 9:00,-3.4,0,70,0.7,1029.2,1033,63,0.13,2520
129,2018-01-03 10:00,-1.7,0,340,2,1029.6,1033.3,59,0.44,3600
129,2018-01-03 11:00,-0.9,0,340,3.4,1029.9,1033.6,57,0.69,3600
129,2018-01-03 12:00,-0.4,0,360,3.2,1029,1032.7,53,0.85,3600
129,2018-01-03 13:00,-0.8,0,320,4.7,1028.4,1032.1,57,0.94,3600
129,2018-01-03 14:00,-0.5,0,320,3.8,1027.8,1031.5,56,0.94,3600
129,2018-01-03 15:00,-0.5,0,320,3.3,1027.6,1031.3,55,0.79,3600
129,2018-01-03 16:00,-1.2,0,320,3.8,1028,1031.7,59,0.49,3600
129,2018-01-03 17:00,-1.8,0,320,2.7,1027.6,1031.3,59,0.26,3600
129,2018-01-03 18:00,-2.5,0,320,1.9,1027.8,1031.5,64,0.01,0
129,2018-01-03 19:00,-2.8,0,290,1.3,1028.1,1031.9,65,0,0
129,2018-01-03 20:00,-3.9,0,180,1.5,1027.8,1031.6,72,0,0
129,2018-01-03 21:00,-4.3,0,180,0.8,1027.7,1031.5,78,0,0
129,2018-01-03 22:00,-4.2,0,0,0.4,1028,1031.8,81,0,0
129,2018-01-03 23:00,-2.7,0,340,3.3,1028.4,1032.1,67,0,0
129,2018-01-04 0:00,-3.3,0,340,2.8,1028.3,1032.1,65,0,0
129,2018-01-04 1:00,-3.9,0,360,2.9,1027.8,1031.6,64,0,0
129,2018-01-04 2:00,-4.7,0,50,1.4,1027.8,1031.6,62,0,0
129,2018-01-04 3:00,-5.1,0,50,0.9,1028.4,1032.2,60,0,0
129,2018-01-04 4:00,-5.2,0,50,1.1,1028.4,1032.2,59,0,0
129,2018-01-04 5:00,-5.2,0,70,1,1027.7,1031.5,59,0,0
129,2018-01-04 6:00,-5.8,0,50,1.1,1026.9,1030.7,65,0,0
129,2018-01-04 7:00,-5.7,0,70,0.9,1027.1,1030.9,62,0,0
129,2018-01-04 8:00,-6.6,0,0,0.1,1026.8,1030.6,73,0,0
129,2018-01-04 9:00,-5.6,0,0,0.1,1027,1030.8,71,0.11,1800
129,2018-01-04 10:00,-3.7,0,360,1.3,1027,1030.8,60,0.31,3600
129,2018-01-04 11:00,-3.1,0,20,1.9,1026.4,1030.1,55,0.53,3600
129,2018-01-04 12:00,-2,0,20,2.5,1025.4,1029.1,52,0.77,3600
129,2018-01-04 13:00,-1,0,360,2.1,1023.9,1027.6,52,0.8,3600
129,2018-01-04 16:00,-2.5,0,360,2.3,1023.3,1027,53,0,0
129,2018-01-04 17:00,-3,0,20,1.8,1022.9,1026.6,56,0.09,0
129,2018-01-04 18:00,-3.1,0,340,1.1,1022.9,1026.6,58,0,0
129,2018-01-04 19:00,-3.4,0,20,0.7,1022.3,1026,60,0,0
129,2018-01-04 20:00,-3.5,0,70,1,1022.3,1026,60,0,0
129,2018-01-04 21:00,-3.5,0,0,0.4,1021.8,1025.5,61,0,0
129,2018-01-04 22:00,-3.8,0,0,0,1022,1025.7,69,0,0
129,2018-01-04 23:00,-4.2,0,50,0.6,1021,1024.7,68,0,0
129,2018-01-05 0:00,-4.6,0,0,0.2,1020.5,1024.2,75,0,0
129,2018-01-05 1:00,-4.7,0,0,0.3,1020.4,1024.2,74,0,0
129,2018-01-05 2:00,-5.4,0,0,0,1020,1023.8,77,0,0
129,2018-01-05 3:00,-5.2,0,0,0.1,1020,1023.8,82,0,0
129,2018-01-05 4:00,-5.5,0,90,1.1,1019.6,1023.4,82,0,0
129,2018-01-05 5:00,-5.8,0,0,0,1019.4,1023.2,85,0,0
129,2018-01-05 6:00,-5.5,0,70,0.6,1019,1022.8,81,0,0
129,2018-01-05 7:00,-6.2,0,0,0.3,1019.1,1022.9,85,0,0
129,2018-01-05 8:00,-5.1,0,0,0.3,1019.1,1022.8,82,0,0
129,2018-01-05 9:00,-4.7,0,0,0.4,1019.4,1023.1,84,0.07,0
129,2018-01-05 10:00,-2.6,0,0,0.4,1019.5,1023.2,70,0.31,2160
129,2018-01-05 11:00,-0.2,0,290,2,1019.6,1023.3,62,0.51,3240
129,2018-01-05 12:00,1.4,0,320,2.5,1018.7,1022.4,59,0.65,3600
129,2018-01-05 13:00,1.8,0,320,4.4,1017.8,1021.4,49,1.05,3600
129,2018-01-05 14:00,1.7,0,340,3.5,1017.1,1020.7,58,0.82,3600
129,2018-01-05 15:00,1.4,0,290,4.7,1017.6,1021.3,59,0.49,3240
129,2018-01-05 16:00,0.8,0,320,3.1,1017.5,1021.2,64,0.22,3240
129,2018-01-05 17:00,0.8,0,290,3.1,1017.7,1021.4,66,0.11,2160
129,2018-01-05 18:00,0.5,0,290,3.9,1017.8,1021.5,66,0,0
129,2018-01-05 19:00,-0.3,0,320,1.3,1017.7,1021.4,67,0,0
129,2018-01-05 20:00,-1.5,0,250,0.6,1017.7,1021.4,74,0,0
129,2018-01-05 21:00,-2,0,200,0.7,1017.9,1021.6,79,0,0
129,2018-01-05 22:00,-2.7,0,0,0.4,1018.1,1021.8,82,0,0
129,2018-01-05 23:00,-2.6,0,180,1.3,1018.6,1022.3,80,0,0
129,2018-01-06 0:00,-1.4,0,340,1.3,1018.7,1022.4,69,0,0
129,2018-01-06 1:00,-1.6,0,340,1,1019.3,1023,62,0,0
129,2018-01-06 2:00,-2.7,0,250,0.7,1019.6,1023.3,68,0,0
129,2018-01-06 3:00,-3.4,0,90,1.1,1020,1023.7,69,0,0
129,2018-01-06 4:00,-4.7,0,110,1.5,1020.2,1024,82,0,0
129,2018-01-06 5:00,-6.5,0,20,0.5,1020.3,1024.1,88,0,0
129,2018-01-06 6:00,-7.4,0,70,0.8,1020.3,1024.1,88,0,0
129,2018-01-06 7:00,-7.4,0,0,0.3,1020.7,1024.5,88,0,0
129,2018-01-06 8:00,-7.9,0,0,0.1,1020.8,1024.6,88,0,0
129,2018-01-06 9:00,-5.1,0,0,0.2,1021.3,1025.1,87,0.2,2520
129,2018-01-06 10:00,-0.8,0,0,0.4,1022,1025.7,66,0.64,3600
129,2018-01-06 11:00,1.4,0,320,3.5,1022.2,1025.9,57,0.91,3600
129,2018-01-06 12:00,2,0,320,3.1,1021.6,1025.3,49,0.91,3600
129,2018-01-06 13:00,2.4,0,320,3.9,1020.8,1024.4,47,0.99,3600
129,2018-01-06 14:00,2.7,0,340,3.2,1020.2,1023.8,41,0.95,3600
129,2018-01-06 15:00,2.7,0,360,2.7,1020.2,1023.8,48,0.81,3600
129,2018-01-06 16:00,2.1,0,20,2.3,1020.4,1024.1,45,0.54,3600
129,2018-01-06 17:00,0.9,0,360,1.6,1020.4,1024.1,55,0.25,3600
129,2018-01-06 18:00,-0.8,0,290,1.8,1020.8,1024.5,62,0.02,0
129,2018-01-06 19:00,-2.2,0,90,1.3,1021.4,1025.1,67,0,0
129,2018-01-06 20:00,-3.9,0,230,0.5,1022.1,1025.8,80,0,0
129,2018-01-06 21:00,-4.7,0,0,0.4,1022.2,1026,81,0,0
129,2018-01-06 22:00,-4.9,0,70,1.2,1022.1,1025.9,81,0,0
129,2018-01-06 23:00,-5.9,0,50,0.6,1022.4,1026.2,87,0,0
129,2018-01-07 0:00,-5.9,0,70,0.8,1022.1,1025.9,86,0,0
129,2018-01-07 1:00,-6.7,0,0,0.1,1021.7,1025.5,89,0,0
129,2018-01-07 2:00,-7.2,0,180,0.5,1021.8,1025.6,89,0,0
129,2018-01-07 3:00,-7.2,0,340,0.7,1021.7,1025.5,90,0,0
129,2018-01-07 4:00,-7.2,0,70,1.2,1020.6,1024.4,88,0,0
129,2018-01-07 5:00,-4.3,0,50,1.4,1019.8,1023.5,72,0,0
129,2018-01-07 6:00,-5.7,0,0,0.4,1020.5,1024.3,79,0,0
129,2018-01-07 7:00,-5,0,20,1,1019.8,1023.6,75,0,0
129,2018-01-07 8:00,-3.4,0,20,1.5,1019.7,1023.4,64,0,0
129,2018-01-07 9:00,-4.4,0,180,2.5,1021,1024.7,77,0.09,1080
129,2018-01-07 10:00,-2.8,0,0,0.2,1021.3,1025,76,0.2,0
129,2018-01-07 11:00,-0.7,0,270,0.6,1020.9,1024.6,58,0.53,2880
129,2018-01-07 12:00,0.3,0,230,1,1019.9,1023.6,55,0.35,720
129,2018-01-07 13:00,1.2,0,110,1,1018.5,1022.2,50,0.27,0
129,2018-01-07 14:00,2.2,0,50,0.6,1017.5,1021.1,40,0.32,0
129,2018-01-07 15:00,2.3,0,90,1.6,1016.7,1020.3,45,0.26,0
129,2018-01-07 16:00,1.6,0,70,2.1,1016.5,1020.1,50,0.14,0
129,2018-01-07 17:00,1.1,0,20,1,1016.9,1020.6,50,0.05,0
129,2018-01-07 18:00,0.7,0,360,0.5,1016.9,1020.6,52,0.01,0
129,2018-01-07 19:00,0.6,0,50,1.1,1016.5,1020.2,51,0,0
129,2018-01-07 20:00,0.4,0,360,0.7,1016.4,1020.1,58,0,0
129,2018-01-07 21:00,0.3,0,0,0.1,1016.2,1019.9,59,0,0
129,2018-01-07 22:00,0.2,0,90,0.6,1016.1,1019.8,63,0,0
129,2018-01-07 23:00,0.4,0,70,0.8,1015.8,1019.5,60,0,0
129,2018-01-08 0:00,0.5,0,70,0.6,1015.1,1018.8,59,0,0
129,2018-01-08 1:00,0.8,0,70,1.1,1013.9,1017.5,57,0,0
129,2018-01-08 2:00,0.8,0,50,0.9,1013.1,1016.7,57,0,0
129,2018-01-08 3:00,0.7,0,50,0.6,1012.7,1016.3,61,0,0
129,2018-01-08 4:00,0.7,0,20,1.8,1012.5,1016.1,63,0,0
129,2018-01-08 5:00,-0.3,0,110,1.7,1011.5,1015.2,81,0,0
129,2018-01-08 6:00,-0.7,0.2,0,0.4,1011.3,1015,90,0,0
129,2018-01-08 7:00,-0.8,0.2,110,1.1,1011,1014.7,91,0,0
129,2018-01-08 8:00,-0.6,0.2,0,0.3,1010.7,1014.4,89,0,0
129,2018-01-08 9:00,-0.5,0.2,200,0.8,1011.3,1015,90,0.03,0
129,2018-01-08 10:00,0.3,0.2,180,0.8,1011.2,1014.8,85,0.16,0
129,2018-01-08 11:00,1.2,0.2,230,0.7,1010,1013.6,84,0.25,0
129,2018-01-08 12:00,1.5,0.2,230,1.6,1009.6,1013.2,78,0.3,0
129,2018-01-08 13:00,2.4,0.2,180,1.8,1008.1,1011.7,72,0.3,0
129,2018-01-08 14:00,2.9,0.2,160,1.6,1006.7,1010.3,68,0.3,0
129,2018-01-08 15:00,3.9,0.2,230,2.6,1006.6,1010.2,58,0.56,2520
129,2018-01-08 16:00,3.1,0.2,200,3.1,1006.5,1010.1,65,0.16,0
129,2018-01-08 17:00,1.5,0.2,250,2.9,1006.6,1010.2,90,0.02,0
129,2018-01-08 18:00,0.7,1.3,230,1.4,1006.1,1009.7,97,0,0
129,2018-01-08 19:00,2.2,1.3,270,4,1006.8,1010.4,91,0,0
129,2018-01-08 20:00,2.4,1.3,270,4.9,1007.2,1010.8,73,0,0
129,2018-01-08 21:00,1.9,1.5,290,5.3,1007.5,1011.1,68,0,0
129,2018-01-08 22:00,-0.2,1.5,290,6.7,1008.3,1011.9,88,0,0
129,2018-01-08 23:00,-1,1.5,290,5.8,1008,1011.7,91,0,0
129,2018-01-09 0:00,-0.5,2.2,290,7.4,1008.4,1012,67,0,0
129,2018-01-09 1:00,-1.6,0,290,5.2,1008.6,1012.3,81,0,0
129,2018-01-09 2:00,-2.2,0,290,6.2,1008.7,1012.4,91,0,0
129,2018-01-09 3:00,-2.2,1.6,290,5.4,1008.8,1012.5,88,0,0
129,2018-01-09 4:00,-2.3,1.6,320,4,1009.2,1012.9,88,0,0
129,2018-01-09 5:00,-2.4,1.6,320,4.2,1009.4,1013.1,69,0,0
129,2018-01-09 6:00,-2,2.4,320,4.5,1009.8,1013.5,67,0,0
129,2018-01-09 7:00,-2.6,2.4,290,5.3,1010.4,1014.1,69,0,0
129,2018-01-09 8:00,-2.8,2.4,290,3.1,1011.2,1014.9,70,0,0
129,2018-01-09 9:00,-2.3,2.4,320,3.8,1012,1015.7,70,0.1,720
129,2018-01-09 10:00,-2.7,2.4,320,2.5,1012.6,1016.3,83,0.23,720
129,2018-01-09 11:00,-1.7,2.4,290,3.9,1012.9,1016.6,80,0.5,2520
129,2018-01-09 12:00,-0.6,3.1,290,3.9,1012.1,1015.8,66,0.83,3600
129,2018-01-09 13:00,-0.9,3.1,290,2.5,1011.9,1015.6,76,0.52,2880
129,2018-01-09 14:00,-0.2,3.1,290,4.5,1011.9,1015.6,69,0.71,3240
129,2018-01-09 15:00,-1.4,3.7,320,5.6,1011.9,1015.6,83,0.5,3240
129,2018-01-09 16:00,-0.6,3.7,320,3.1,1012,1015.7,71,0.36,1800
129,2018-01-09 17:00,-1.4,3.7,320,3.1,1012.2,1015.9,69,0.21,2880
129,2018-01-09 18:00,-2.8,3.7,200,0.5,1012.4,1016.1,83,0.02,0
129,2018-01-09 19:00,-2.5,3.7,160,1.1,1012.5,1016.2,81,0,0
129,2018-01-09 20:00,-2.6,3.7,180,2,1012.1,1015.8,85,0,0
129,2018-01-09 21:00,-3,4.3,290,0.7,1012.2,1015.9,95,0,0
129,2018-01-09 22:00,-4.8,4.3,360,0.6,1011.8,1015.5,96,0,0
129,2018-01-09 23:00,-2.6,4.3,250,2.6,1011.5,1015.2,97,0,0
129,2018-01-10 0:00,-1.6,11.1,320,4.2,1011.2,1014.9,97,0,0
129,2018-01-10 1:00,-1.5,0,290,5.4,1010.4,1014.1,88,0,0
129,2018-01-10 2:00,-2.9,0,340,3.8,1011.6,1015.3,92,0,0
129,2018-01-10 3:00,-3.9,2.5,360,3.9,1012.3,1016,88,0,0
129,2018-01-10 4:00,-5.1,2.5,50,1.1,1013,1016.7,85,0,0
129,2018-01-10 5:00,-6.4,2.5,70,1,1012.8,1016.5,86,0,0
129,2018-01-10 6:00,-9.5,2.5,0,0.2,1013.1,1016.9,93,0,0
129,2018-01-10 7:00,-9.8,2.5,0,0.2,1013.8,1017.6,93,0,0
129,2018-01-10 8:00,-7.8,2.5,70,0.9,1014.4,1018.2,94,0,0
129,2018-01-10 9:00,-5.3,2.5,50,0.9,1015.4,1019.1,74,0.03,0
129,2018-01-10 10:00,-4.1,2.5,360,2.3,1015.9,1019.6,63,0.09,0
129,2018-01-10 11:00,-3.8,2.5,320,4.3,1015.8,1019.5,62,0.15,0
129,2018-01-10 12:00,-4.1,2.5,340,3.4,1015.6,1019.3,65,0.18,0
129,2018-01-10 13:00,-3.6,2.5,320,4.8,1015.1,1018.8,61,0.25,0
129,2018-01-10 14:00,-4.1,2.5,320,4.6,1015.3,1019,68,0.28,0
129,2018-01-10 15:00,-4,2.5,320,5.6,1015.7,1019.4,59,0.26,0
129,2018-01-10 16:00,-4.7,2.5,340,4.6,1016.6,1020.3,63,0.22,720
129,2018-01-10 17:00,-5.5,2.5,320,5.4,1017.3,1021,64,0.14,720
129,2018-01-10 18:00,-5.7,2.5,320,4.7,1018,1021.8,59,0.01,0
129,2018-01-10 19:00,-6,2.5,320,3.2,1018.7,1022.5,61,0,0
129,2018-01-10 20:00,-6,2.5,340,3.1,1019.6,1023.4,58,0,0
129,2018-01-10 21:00,-6.4,2.5,340,2.8,1020.2,1024,61,0,0
129,2018-01-10 22:00,-6.6,2.5,340,4.3,1020.6,1024.4,58,0,0
129,2018-01-10 23:00,-6.6,2.5,340,2.5,1020.6,1024.4,58,0,0
129,2018-01-11 0:00,-7,2.5,340,3,1020.7,1024.5,61,0,0
129,2018-01-11 1:00,-7,0,340,4.1,1020.8,1024.6,59,0,0
129,2018-01-11 2:00,-7.3,0,340,3.6,1021.2,1025,58,0,0
129,2018-01-11 3:00,-7.5,0,340,3.9,1021.6,1025.4,57,0,0
129,2018-01-11 4:00,-7.6,0,340,3.1,1021.9,1025.7,58,0,0
129,2018-01-11 5:00,-7.8,0,340,4.3,1021.9,1025.7,58,0,0
129,2018-01-11 6:00,-8,0,340,3.6,1022.2,1026,60,0,0
129,2018-01-11 7:00,-8.2,0,340,2.9,1022.7,1026.5,61,0,0
129,2018-01-11 8:00,-8.3,0,320,3.6,1023,1026.8,60,0,0
129,2018-01-11 9:00,-7.9,0,340,3.4,1023.5,1027.3,63,0.11,0
129,2018-01-11 10:00,-7.2,0,340,3.4,1024.2,1028,62,0.35,1440
129,2018-01-11 11:00,-6.9,0,340,4.1,1024.4,1028.2,60,0.56,2880
129,2018-01-11 12:00,-7,0,320,4.7,1024.5,1028.3,66,0.72,3240
129,2018-01-11 13:00,-7.3,0,320,5.7,1024.2,1028,68,0.75,2520
129,2018-01-11 14:00,-6.8,0,320,5.1,1024.2,1028,59,0.68,2160
129,2018-01-11 15:00,-6.9,0,320,5.1,1024.5,1028.3,58,0.68,3240
